Season,Name,Team,W,L,ERA,GS,CG,ShO,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,SO,y
2014,Mike Leake,Reds,11,13,3.7,33,0,0,214.1,902,217,93,88,23,50,3,13,4,164,0
2007,Adam Wainwright,Cardinals,14,12,3.7,32,1,0,202,882,212,93,83,13,70,4,9,6,136,0
2015,Mike Leake,- - -,11,10,3.7,30,2,1,192,778,174,80,79,22,49,5,3,6,119,0
2011,John Lannan,Nationals,10,13,3.7,33,0,0,184.2,808,194,90,76,15,76,3,7,4,106,0
2008,Paul Maholm,Pirates,9,9,3.71,31,1,0,206.1,853,201,89,85,21,63,2,9,2,139,0
2008,Todd Wellemeyer,Cardinals,13,9,3.71,32,0,0,191.2,807,178,84,79,25,62,1,7,7,134,0
2008,Jamie Moyer,Phillies,16,7,3.71,33,0,0,196.1,841,199,85,81,20,62,4,11,3,123,0
2016,Jeremy Hellickson,Phillies,12,10,3.71,32,1,1,189,772,173,86,78,24,45,0,6,6,154,0
2013,Ricky Nolasco,- - -,13,11,3.72,33,0,0,198.1,831,194,90,82,17,46,1,10,5,164,0
2012,Chris Capuano,Dodgers,12,12,3.72,33,0,0,198.1,817,188,91,82,25,54,4,2,6,162,0
2008,Mike Pelfrey,Mets,13,11,3.72,32,2,0,200.2,851,209,86,83,12,64,1,13,2,110,0
2007,Aaron Harang,Reds,16,6,3.73,34,2,1,231.2,948,213,100,96,28,52,3,8,12,218,0
2008,Hiroki Kuroda,Dodgers,9,10,3.73,31,2,2,183.1,776,181,85,76,13,42,8,7,5,116,0
2011,Tim Stauffer,Padres,9,12,3.73,31,0,0,185.2,777,180,81,77,20,53,5,8,4,128,0
2009,Yovani Gallardo,Brewers,13,12,3.73,30,1,0,185.2,793,150,78,77,21,94,5,5,9,204,0
2012,Mark Buehrle,Marlins,13,13,3.74,31,1,0,202.1,828,197,88,84,26,40,3,4,2,125,0
